"semilla","train","test"
1,38.37,32.18
2,39.18,32.07
3,40.02,32.3
4,39.54,31.95
5,39.93,32.07
6,39.86,32.54
7,39.24,31.83
8,39.58,31.83
9,38.95,32.18
10,39.63,32.66
11,38.67,31.71
12,40.89,31.83
13,38.83,32.3
14,39.42,32.89
15,39.52,32.07
16,39.27,32.54
17,39.82,32.07
18,38.67,32.89
19,39.99,32.66
20,40.44,31.95
