"semilla","train","test"
1,37.26,31.71
2,38.36,31.59
3,38.87,31.59
4,37.88,31.71
5,38.47,31.71
6,38.42,31.83
7,38.02,31.59
8,38.51,31.95
9,37.83,31.83
10,38.21,31.95
11,37.28,31.95
12,37.55,31.48
13,38.03,31.71
14,38.23,31.71
15,38.19,31.95
16,37.97,31.71
17,38.02,31.95
18,37.45,31.48
19,38.16,31.83
20,38.19,31.83
