"semilla","train","test"
1,38.78,32.3
2,38.44,32.07
3,38.62,32.3
4,39.72,32.07
5,39.84,32.42
6,39.2,31.95
7,38.45,32.18
8,38.49,32.18
9,38.33,31.83
10,39.01,32.07
11,38.72,32.07
12,38.72,32.18
13,39.53,32.3
14,38.63,31.71
15,38.3,32.07
16,39.11,32.66
17,39.44,32.66
18,38.5,32.66
19,39.39,32.07
20,38.89,32.07
