"semilla","train","test"
1,39.53,32.3
2,39.84,33.01
3,39.46,32.66
4,39.95,32.18
5,39.36,32.54
6,39.25,32.66
7,39.48,32.07
8,39.2,32.42
9,39.46,32.42
10,39.17,32.89
11,38.3,32.42
12,39.95,32.77
13,38.82,32.54
14,39.16,32.07
15,38.27,33.01
16,39.19,32.07
17,39.79,32.42
18,38.81,31.59
19,39.82,32.07
20,39.66,32.42
