"semilla","train","test"
1,36.95,29.12
2,37.18,29
3,37.35,28.88
4,36.73,29.12
5,37.13,29
6,36.9,29.59
7,36.44,29.12
8,37.61,29.59
9,36.11,29.12
10,36.04,29.24
11,36.02,29.12
12,36.45,28.88
13,36.86,29.47
14,36.53,29.12
15,36.49,29.12
16,36.48,29
17,36.83,29.24
18,36.96,29.59
19,37.69,28.88
20,37.58,28.88
