"semilla","train","test"
1,36.96,32.54
2,38.08,32.42
3,37.22,31.83
4,37.93,32.89
5,38.14,32.42
6,36.8,32.42
7,36.95,32.66
8,38.14,32.66
9,37.61,32.54
10,36.03,32.18
11,36.6,32.77
12,37.51,32.89
13,37.61,32.42
14,36.81,32.66
15,37.38,33.01
16,36.61,32.54
17,38.18,32.89
18,37.54,32.66
19,37.62,32.66
20,37.36,32.66
